session_id,customer_id,session_start_ts,session_end_ts,channel,landing_page,device,utm_source,utm_campaign
sess_000054,,2025-12-03T17:13:17,2025-12-03T17:40:19,web,/product,desktop,email,always_on
sess_000055,,2026-04-08T21:21:55,2026-04-08T21:48:50,web,/product,mobile,google,always_on
sess_000056,84,2026-04-02T14:08:53,2026-04-02T14:37:27,web,/cart,tablet,meta,spring_sale
sess_000057,,2024-04-01T11:27:04,2024-04-01T11:33:41,mobile_app,/category,desktop,bing,summer_clearance
sess_000058,459,2024-05-03T19:47:41,2024-05-03T20:19:15,mobile_app,/promo,mobile,bing,spring_sale
sess_000059,,2024-11-01T12:31:30,2024-11-01T12:44:00,mobile_app,/product,desktop,google,holiday_2024
sess_000060,713,2026-01-18T20:24:37,2026-01-18T20:56:06,mobile_app,/category,mobile,meta,summer_clearance
sess_000061,,2026-03-22T21:17:15,2026-03-22T21:56:52,web,/cart,desktop,google,spring_sale
sess_000062,655,2025-04-21T17:33:11,2025-04-21T17:47:42,web,/cart,tablet,meta,brand_search
sess_000063,,2024-07-28T18:40:23,2024-07-28T19:09:18,web,/home,desktop,email,holiday_2024
sess_000064,,2025-07-21T22:48:06,2025-07-21T23:14:39,mobile_app,/cart,desktop,google,always_on
sess_000065,653,2025-11-19T09:59:03,2025-11-19T10:23:29,mobile_app,/category,mobile,google,brand_search
sess_000066,,2025-02-25T16:21:51,2025-02-25T16:22:19,mobile_app,/cart,tablet,organic,back_to_school
sess_000067,663,2025-04-12T20:42:48,2025-04-12T20:54:18,mobile_app,/home,mobile,bing,holiday_2024
sess_000068,588,2024-06-06T22:46:44,2024-06-06T22:49:50,web,/promo,mobile,email,holiday_2024
sess_000069,502,2024-08-25T18:51:56,2024-08-25T19:21:24,mobile_app,/cart,desktop,email,holiday_2024
sess_000070,413,2025-01-29T11:55:23,2025-01-29T12:04:27,web,/home,mobile,google,back_to_school
sess_000071,,2024-01-12T12:00:41,2024-01-12T12:39:10,web,/promo,desktop,bing,holiday_2025
sess_000072,,2025-08-10T08:06:04,2025-08-10T08:37:45,web,/promo,tablet,google,spring_sale
sess_000073,495,2026-04-10T22:41:30,2026-04-10T22:42:39,mobile_app,/home,tablet,google,back_to_school
sess_000074,,2025-02-28T19:04:26,2025-02-28T19:33:52,web,/promo,tablet,google,summer_clearance
sess_000075,302,2025-07-28T08:09:10,2025-07-28T08:21:45,mobile_app,/cart,desktop,organic,holiday_2024
sess_000076,408,2024-11-29T09:30:44,2024-11-29T09:55:36,mobile_app,/category,mobile,google,holiday_2024
sess_000077,543,2026-04-13T08:19:58,2026-04-13T08:35:12,web,/category,tablet,google,summer_clearance
sess_000078,729,2025-11-20T19:33:16,2025-11-20T19:35:19,web,/category,mobile,email,spring_sale
sess_000079,459,2025-04-11T14:49:16,2025-04-11T15:28:55,mobile_app,/product,desktop,meta,summer_clearance
sess_000080,696,2026-05-08T13:36:35,2026-05-08T13:54:47,mobile_app,/home,tablet,bing,back_to_school
sess_000081,,2024-11-03T15:09:03,2024-11-03T15:18:29,mobile_app,/product,desktop,email,holiday_2024
sess_000082,114,2025-04-15T19:38:52,2025-04-15T19:56:20,web,/cart,mobile,email,spring_sale
sess_000083,48,2025-05-16T11:56:45,2025-05-16T12:04:53,web,/home,mobile,email,holiday_2024
sess_000084,,2025-04-26T14:24:42,2025-04-26T14:28:12,web,/home,desktop,organic,summer_clearance
sess_000085,,2025-12-06T19:27:19,2025-12-06T19:36:34,web,/category,desktop,google,back_to_school
sess_000086,,2024-07-04T10:01:38,2024-07-04T10:23:11,mobile_app,/product,tablet,organic,holiday_2024
sess_000087,24,2024-07-09T18:40:06,2024-07-09T18:50:31,web,/product,mobile,bing,always_on
sess_000088,,2026-04-20T08:36:16,2026-04-20T08:43:49,web,/promo,mobile,google,back_to_school
sess_000089,,2024-12-22T10:21:44,2024-12-22T10:43:26,mobile_app,/product,mobile,organic,holiday_2025
sess_000090,,2025-07-27T11:26:19,2025-07-27T11:48:44,web,/cart,desktop,email,holiday_2025
sess_000091,,2026-04-08T15:23:43,2026-04-08T15:57:34,web,/home,mobile,organic,summer_clearance
sess_000092,,2026-05-25T08:25:06,2026-05-25T08:45:52,web,/promo,tablet,google,holiday_2025
sess_000093,597,2025-08-14T17:18:28,2025-08-14T17:21:28,web,/cart,tablet,email,always_on
sess_000094,,2026-01-29T16:07:35,2026-01-29T16:46:33,mobile_app,/home,desktop,google,back_to_school
sess_000095,,2025-08-15T08:31:06,2025-08-15T08:38:34,mobile_app,/product,mobile,email,holiday_2025
sess_000096,479,2024-02-25T22:24:45,2024-02-25T23:01:26,mobile_app,/promo,desktop,google,holiday_2025
sess_000097,496,2024-04-12T10:41:51,2024-04-12T11:13:37,web,/product,desktop,organic,holiday_2025
sess_000098,639,2026-01-30T15:21:04,2026-01-30T15:56:00,mobile_app,/category,tablet,bing,back_to_school
sess_000099,,2024-07-03T21:36:28,2024-07-03T21:40:28,mobile_app,/cart,desktop,google,holiday_2025
sess_000100,,2024-01-04T21:01:16,2024-01-04T21:07:46,web,/category,tablet,bing,always_on
sess_000101,127,2025-03-03T19:43:41,2025-03-03T20:05:20,web,/product,desktop,google,brand_search
sess_000102,374,2024-05-24T22:00:02,2024-05-24T22:38:01,mobile_app,/category,tablet,organic,summer_clearance
sess_000103,,2024-08-16T12:35:31,2024-08-16T13:11:36,web,/product,desktop,google,spring_sale
sess_000104,499,2024-10-18T15:41:18,2024-10-18T16:08:43,web,/category,tablet,google,spring_sale
sess_000105,72,2025-12-26T18:16:06,2025-12-26T18:39:11,mobile_app,/category,desktop,google,back_to_school
sess_000106,158,2024-08-19T10:07:46,2024-08-19T10:47:46,mobile_app,/cart,tablet,organic,holiday_2024
sess_000107,,2024-04-26T15:17:03,2024-04-26T15:32:58,web,/home,desktop,bing,back_to_school
sess_000108,,2025-01-27T16:17:07,2025-01-27T16:48:05,web,/product,desktop,meta,holiday_2025
sess_000109,,2026-05-06T22:31:51,2026-05-06T22:54:41,web,/category,mobile,google,always_on
sess_000110,328,2025-12-27T08:58:54,2025-12-27T09:06:15,web,/promo,tablet,bing,holiday_2025
sess_000111,,2024-05-14T10:39:32,2024-05-14T10:53:39,web,/category,desktop,bing,summer_clearance
sess_000112,717,2024-07-30T22:29:01,2024-07-30T22:46:37,web,/category,tablet,email,holiday_2024
sess_000113,,2024-01-17T15:10:39,2024-01-17T15:31:22,mobile_app,/category,tablet,meta,summer_clearance
sess_000114,120,2026-03-01T12:21:07,2026-03-01T12:30:53,mobile_app,/category,tablet,organic,back_to_school
sess_000115,,2024-12-07T16:24:31,2024-12-07T16:41:22,web,/category,mobile,email,holiday_2024
sess_000116,430,2024-07-19T19:45:18,2024-07-19T20:22:08,mobile_app,/cart,tablet,google,summer_clearance
sess_000117,357,2025-06-26T21:03:59,2025-06-26T21:32:11,mobile_app,/category,desktop,google,spring_sale
sess_000118,,2025-12-14T21:38:48,2025-12-14T22:01:44,mobile_app,/home,mobile,meta,brand_search
sess_000119,773,2025-02-04T15:45:35,2025-02-04T16:08:57,web,/category,mobile,google,spring_sale
sess_000120,533,2026-04-29T10:38:09,2026-04-29T11:15:06,web,/home,mobile,google,brand_search
sess_000121,260,2024-08-05T16:40:42,2024-08-05T17:03:11,mobile_app,/promo,mobile,google,always_on
sess_000122,332,2026-05-04T13:18:22,2026-05-04T13:21:38,mobile_app,/product,tablet,email,back_to_school
sess_000123,,2025-09-07T16:54:52,2025-09-07T16:58:11,web,/product,desktop,email,brand_search
sess_000124,593,2025-07-15T15:32:33,2025-07-15T16:09:44,mobile_app,/promo,tablet,bing,holiday_2025
sess_000125,,2024-11-07T20:17:54,2024-11-07T20:18:18,web,/cart,tablet,bing,spring_sale
sess_000126,,2025-08-07T18:23:38,2025-08-07T18:44:57,web,/home,tablet,email,holiday_2025
sess_000127,509,2025-09-24T08:11:58,2025-09-24T08:12:21,mobile_app,/cart,desktop,google,holiday_2025
sess_000128,,2025-05-30T22:05:21,2025-05-30T22:21:22,web,/category,desktop,meta,brand_search
sess_000129,593,2025-04-21T15:03:22,2025-04-21T15:13:19,web,/product,desktop,email,back_to_school
sess_000130,107,2024-04-13T19:49:09,2024-04-13T20:20:07,web,/category,mobile,google,summer_clearance
sess_000131,267,2024-05-23T19:22:33,2024-05-23T20:01:09,web,/product,desktop,meta,summer_clearance
sess_000132,,2025-05-12T12:11:08,2025-05-12T12:18:06,web,/home,tablet,bing,brand_search
sess_000133,,2026-05-05T22:20:19,2026-05-05T22:39:11,mobile_app,/home,desktop,organic,back_to_school
sess_000134,73,2026-02-13T14:44:04,2026-02-13T14:45:38,mobile_app,/promo,desktop,google,holiday_2024
sess_000135,762,2024-04-14T11:56:30,2024-04-14T12:29:54,mobile_app,/category,desktop,email,always_on
sess_000136,404,2025-10-07T13:06:45,2025-10-07T13:27:48,web,/cart,desktop,bing,holiday_2024
sess_000137,692,2024-06-25T08:19:02,2024-06-25T08:35:58,mobile_app,/home,mobile,google,spring_sale
sess_000138,,2024-04-15T10:04:28,2024-04-15T10:42:44,mobile_app,/category,tablet,bing,back_to_school
sess_000139,,2024-07-23T14:04:17,2024-07-23T14:27:37,web,/home,desktop,email,spring_sale
sess_000140,446,2024-09-14T11:05:58,2024-09-14T11:17:11,mobile_app,/cart,mobile,meta,back_to_school
sess_000141,207,2025-01-27T12:25:57,2025-01-27T13:00:31,mobile_app,/category,desktop,bing,summer_clearance
sess_000142,,2024-02-05T17:18:33,2024-02-05T17:25:20,mobile_app,/category,desktop,email,holiday_2025
sess_000143,35,2025-11-06T17:00:44,2025-11-06T17:36:54,web,/product,mobile,google,holiday_2025
sess_000144,234,2025-04-25T22:03:50,2025-04-25T22:15:20,web,/product,mobile,meta,holiday_2025
sess_000145,,2026-03-10T11:05:19,2026-03-10T11:32:08,mobile_app,/home,tablet,bing,holiday_2025
sess_000146,640,2026-01-21T10:15:09,2026-01-21T10:33:33,mobile_app,/promo,mobile,bing,always_on
sess_000147,503,2026-01-09T12:45:42,2026-01-09T13:16:36,web,/category,desktop,meta,summer_clearance
sess_000148,665,2024-09-18T21:56:37,2024-09-18T22:08:11,web,/category,desktop,google,back_to_school
sess_000149,,2024-01-06T22:25:04,2024-01-06T23:00:41,mobile_app,/cart,desktop,google,holiday_2024
sess_000150,,2025-08-25T21:58:09,2025-08-25T22:29:03,mobile_app,/home,mobile,organic,always_on
sess_000151,,2025-02-20T17:22:42,2025-02-20T17:58:47,web,/cart,tablet,email,spring_sale
sess_000152,73,2024-07-23T12:14:40,2024-07-23T12:50:39,web,/product,tablet,google,summer_clearance
sess_000153,277,2024-11-23T21:25:10,2024-11-23T21:31:11,mobile_app,/cart,desktop,google,always_on
sess_000154,,2024-10-31T08:19:09,2024-10-31T08:37:39,web,/cart,mobile,meta,summer_clearance
sess_000155,,2025-03-08T09:55:25,2025-03-08T09:59:29,mobile_app,/category,desktop,organic,spring_sale
sess_000156,707,2025-03-25T10:19:29,2025-03-25T10:46:40,web,/product,tablet,google,spring_sale
sess_000157,215,2026-05-10T11:39:45,2026-05-10T12:12:53,mobile_app,/product,mobile,meta,holiday_2024
sess_000158,746,2026-03-23T19:38:50,2026-03-23T19:54:28,mobile_app,/category,mobile,bing,always_on
sess_000159,709,2024-06-29T22:16:10,2024-06-29T22:49:27,web,/category,tablet,organic,holiday_2024
sess_000160,,2025-10-17T14:49:58,2025-10-17T14:57:32,web,/cart,desktop,google,back_to_school
sess_000161,624,2026-05-04T19:37:39,2026-05-04T20:15:46,mobile_app,/promo,desktop,email,back_to_school
sess_000162,,2025-12-10T21:02:26,2025-12-10T21:40:24,mobile_app,/product,mobile,google,always_on
sess_000163,,2024-01-11T12:58:02,2024-01-11T13:36:31,web,/category,mobile,bing,holiday_2025
sess_000164,,2025-02-06T16:17:33,2025-02-06T16:22:46,web,/product,mobile,google,holiday_2024
sess_000165,775,2024-12-21T22:25:39,2024-12-21T22:39:14,mobile_app,/product,desktop,google,spring_sale
sess_000166,747,2024-12-10T12:07:22,2024-12-10T12:16:29,mobile_app,/promo,mobile,bing,back_to_school
sess_000167,,2025-04-20T20:30:00,2025-04-20T20:38:05,mobile_app,/category,desktop,organic,summer_clearance
sess_000168,32,2025-11-10T11:12:24,2025-11-10T11:21:18,mobile_app,/product,desktop,organic,holiday_2025
sess_000169,397,2024-03-14T11:51:30,2024-03-14T12:28:42,web,/category,mobile,google,brand_search
sess_000170,,2024-08-19T13:41:59,2024-08-19T13:46:56,web,/product,mobile,email,brand_search
sess_000171,,2025-08-02T20:26:14,2025-08-02T21:04:12,mobile_app,/category,mobile,bing,brand_search
sess_000172,,2024-02-19T13:54:02,2024-02-19T13:58:16,mobile_app,/home,tablet,bing,spring_sale
sess_000173,,2026-01-20T14:41:24,2026-01-20T15:09:32,web,/promo,mobile,email,summer_clearance
sess_000174,,2025-10-18T12:13:37,2025-10-18T12:48:20,web,/category,desktop,google,brand_search
sess_000175,,2025-05-15T08:10:07,2025-05-15T08:17:46,mobile_app,/cart,tablet,bing,spring_sale
sess_000176,96,2024-06-13T21:34:38,2024-06-13T21:47:23,mobile_app,/promo,tablet,email,holiday_2024
sess_000177,494,2024-12-24T22:27:55,2024-12-24T22:34:42,web,/product,mobile,organic,brand_search
sess_000178,71,2025-07-19T19:12:24,2025-07-19T19:18:39,mobile_app,/category,tablet,google,summer_clearance
sess_000179,,2025-01-21T14:48:40,2025-01-21T15:09:51,web,/product,mobile,organic,back_to_school
sess_000180,,2024-08-22T08:14:18,2024-08-22T08:24:18,mobile_app,/promo,tablet,bing,back_to_school
sess_000181,67,2026-04-11T13:51:25,2026-04-11T14:21:23,web,/product,mobile,meta,holiday_2025
sess_000182,393,2025-10-22T09:57:26,2025-10-22T09:57:59,mobile_app,/home,mobile,meta,holiday_2025
sess_000183,750,2025-05-20T21:27:26,2025-05-20T21:29:38,web,/cart,tablet,google,always_on
sess_000184,483,2025-09-29T14:54:06,2025-09-29T15:13:50,web,/home,mobile,google,holiday_2025
sess_000185,717,2026-01-06T08:09:29,2026-01-06T08:43:48,web,/cart,desktop,google,spring_sale
sess_000186,599,2026-04-23T17:57:39,2026-04-23T18:27:09,mobile_app,/cart,mobile,bing,brand_search
sess_000187,669,2026-04-04T10:06:30,2026-04-04T10:26:46,mobile_app,/product,tablet,email,always_on
sess_000188,,2025-07-13T16:17:12,2025-07-13T16:55:17,mobile_app,/product,desktop,organic,holiday_2025
sess_000189,,2024-01-24T18:25:56,2024-01-24T19:01:56,mobile_app,/product,mobile,email,back_to_school
sess_000190,,2024-12-21T19:51:55,2024-12-21T20:23:16,web,/product,tablet,meta,always_on
sess_000191,353,2025-04-07T17:38:30,2025-04-07T17:47:46,mobile_app,/home,desktop,organic,spring_sale
sess_000192,413,2024-05-08T20:40:14,2024-05-08T20:51:34,web,/promo,desktop,meta,always_on
sess_000193,,2025-10-08T20:39:18,2025-10-08T21:13:43,mobile_app,/cart,tablet,meta,always_on
sess_000194,,2025-12-12T14:23:37,2025-12-12T14:51:50,mobile_app,/home,tablet,bing,brand_search
sess_000195,273,2024-03-23T18:59:30,2024-03-23T19:24:09,web,/promo,mobile,google,always_on
sess_000196,353,2025-08-11T22:40:39,2025-08-11T23:11:06,web,/home,mobile,google,holiday_2024
sess_000197,,2024-08-11T21:51:18,2024-08-11T22:10:42,web,/category,desktop,google,holiday_2025
sess_000198,,2024-04-13T22:24:52,2024-04-13T22:37:39,mobile_app,/promo,mobile,meta,summer_clearance
sess_000199,245,2026-03-01T20:29:50,2026-03-01T21:04:35,web,/category,desktop,meta,summer_clearance
sess_000200,179,2025-05-18T11:04:36,2025-05-18T11:33:07,mobile_app,/category,mobile,email,holiday_2025
sess_000201,,2024-03-14T20:08:56,2024-03-14T20:12:25,mobile_app,/promo,tablet,email,holiday_2024
sess_000202,599,2024-06-10T14:29:07,2024-06-10T14:54:44,web,/product,tablet,organic,holiday_2024
sess_000203,,2026-04-05T08:04:10,2026-04-05T08:41:34,mobile_app,/product,mobile,google,brand_search
sess_000204,360,2025-01-26T12:24:01,2025-01-26T12:57:37,web,/home,mobile,organic,always_on
sess_000205,206,2025-11-25T14:22:58,2025-11-25T14:34:37,web,/home,mobile,google,back_to_school
sess_000206,344,2025-04-25T19:41:32,2025-04-25T20:09:10,web,/category,desktop,bing,summer_clearance
sess_000207,355,2026-01-26T08:01:49,2026-01-26T08:28:25,mobile_app,/cart,mobile,organic,spring_sale
sess_000208,,2024-10-31T12:08:40,2024-10-31T12:12:50,web,/category,mobile,google,spring_sale
sess_000209,178,2026-01-04T14:46:59,2026-01-04T15:24:49,web,/cart,desktop,google,brand_search
sess_000210,29,2026-01-11T14:26:33,2026-01-11T14:59:08,web,/cart,tablet,meta,summer_clearance
sess_000211,,2024-05-07T09:27:30,2024-05-07T09:35:15,web,/product,mobile,organic,back_to_school
sess_000212,553,2025-06-03T11:56:25,2025-06-03T12:21:39,web,/home,mobile,organic,holiday_2024
sess_000213,433,2025-01-01T16:52:43,2025-01-01T16:59:59,mobile_app,/category,desktop,bing,summer_clearance
sess_000214,702,2026-05-30T21:02:34,2026-05-30T21:28:34,web,/category,desktop,google,brand_search
sess_000215,391,2024-01-22T19:44:23,2024-01-22T19:46:23,web,/promo,tablet,google,holiday_2024
sess_000216,712,2025-07-17T11:57:18,2025-07-17T12:33:47,mobile_app,/cart,desktop,bing,always_on
sess_000217,,2026-02-10T16:09:16,2026-02-10T16:39:54,mobile_app,/promo,tablet,bing,back_to_school
sess_000218,479,2024-07-31T12:19:18,2024-07-31T12:27:20,mobile_app,/cart,mobile,bing,holiday_2024
sess_000219,,2024-04-01T21:38:25,2024-04-01T21:51:26,web,/category,tablet,google,holiday_2025
sess_000220,85,2025-01-17T08:07:58,2025-01-17T08:41:17,web,/category,desktop,bing,spring_sale
sess_000221,570,2025-02-05T13:54:51,2025-02-05T14:29:28,mobile_app,/category,mobile,organic,holiday_2024
sess_000222,747,2025-11-25T08:55:44,2025-11-25T09:18:43,web,/promo,desktop,bing,holiday_2025
sess_000223,278,2025-07-02T11:59:43,2025-07-02T12:04:16,mobile_app,/promo,desktop,meta,always_on
sess_000224,249,2025-04-26T21:11:38,2025-04-26T21:17:35,web,/product,desktop,bing,spring_sale
sess_000225,164,2024-03-30T16:23:37,2024-03-30T16:28:08,mobile_app,/category,desktop,google,brand_search
sess_000226,504,2025-07-17T15:56:25,2025-07-17T16:20:43,web,/category,mobile,google,summer_clearance
sess_000227,529,2025-06-06T14:59:21,2025-06-06T15:01:17,mobile_app,/home,desktop,google,always_on
sess_000228,644,2025-08-03T13:51:56,2025-08-03T14:31:55,web,/category,desktop,google,holiday_2025
sess_000229,270,2024-07-01T19:56:17,2024-07-01T20:14:00,web,/cart,mobile,google,brand_search
sess_000230,,2024-12-19T17:40:11,2024-12-19T17:49:15,mobile_app,/cart,tablet,organic,back_to_school
sess_000231,,2026-04-18T16:24:04,2026-04-18T17:02:03,web,/product,mobile,organic,holiday_2025
sess_000232,726,2024-05-01T12:14:11,2024-05-01T12:19:35,mobile_app,/category,mobile,google,holiday_2024
sess_000233,57,2026-01-23T08:49:22,2026-01-23T08:54:57,web,/promo,mobile,google,brand_search
sess_000234,205,2025-04-07T16:00:33,2025-04-07T16:34:38,mobile_app,/category,tablet,organic,back_to_school
sess_000235,,2025-03-28T21:12:09,2025-03-28T21:30:35,web,/product,mobile,google,always_on
sess_000236,324,2024-08-16T14:23:36,2024-08-16T14:49:28,mobile_app,/home,mobile,organic,summer_clearance
sess_000237,,2026-03-19T22:30:53,2026-03-19T23:10:29,web,/product,tablet,meta,always_on
sess_000238,72,2025-08-12T19:39:34,2025-08-12T19:44:48,mobile_app,/category,desktop,organic,summer_clearance
sess_000239,393,2025-05-06T08:11:44,2025-05-06T08:41:29,mobile_app,/home,mobile,organic,holiday_2024
sess_000240,,2024-07-04T21:31:03,2024-07-04T21:41:41,mobile_app,/home,desktop,bing,summer_clearance
sess_000241,,2025-03-03T10:06:01,2025-03-03T10:42:50,web,/category,desktop,bing,brand_search
sess_000242,592,2025-08-15T09:19:45,2025-08-15T09:35:32,web,/promo,mobile,bing,spring_sale
sess_000243,694,2026-03-11T13:51:53,2026-03-11T14:09:08,web,/promo,tablet,google,summer_clearance
sess_000244,,2024-02-24T15:52:14,2024-02-24T15:58:00,mobile_app,/category,tablet,email,holiday_2025
sess_000245,75,2025-04-28T21:11:33,2025-04-28T21:42:37,web,/home,mobile,google,brand_search
sess_000246,24,2024-08-25T16:30:42,2024-08-25T16:58:16,web,/home,tablet,meta,brand_search
sess_000247,,2025-11-21T19:29:39,2025-11-21T19:59:07,mobile_app,/cart,tablet,google,holiday_2025
sess_000248,,2025-04-18T16:50:23,2025-04-18T17:00:54,web,/category,tablet,google,brand_search
sess_000249,268,2024-11-11T09:14:07,2024-11-11T09:45:53,mobile_app,/promo,tablet,organic,back_to_school
sess_000250,,2026-04-08T19:07:50,2026-04-08T19:32:38,web,/category,desktop,google,back_to_school
sess_000251,372,2024-02-12T10:23:45,2024-02-12T11:02:04,mobile_app,/home,desktop,email,holiday_2025
sess_000252,,2025-09-12T10:40:52,2025-09-12T10:48:15,web,/promo,tablet,meta,back_to_school
sess_000253,647,2025-07-02T13:15:05,2025-07-02T13:38:35,mobile_app,/product,tablet,bing,holiday_2024
sess_000254,347,2025-12-15T08:35:47,2025-12-15T09:06:44,mobile_app,/cart,mobile,meta,back_to_school
sess_000255,446,2024-08-29T16:48:35,2024-08-29T16:56:59,web,/product,desktop,google,back_to_school
sess_000256,,2025-04-27T16:05:51,2025-04-27T16:13:49,web,/cart,desktop,google,holiday_2025
sess_000257,,2025-06-16T17:55:50,2025-06-16T18:28:57,mobile_app,/cart,tablet,bing,summer_clearance
sess_000258,713,2024-04-02T14:35:44,2024-04-02T14:42:07,mobile_app,/home,mobile,google,holiday_2025
sess_000259,,2024-04-27T19:39:01,2024-04-27T20:13:02,mobile_app,/product,mobile,google,holiday_2025
sess_000260,245,2025-12-08T14:18:53,2025-12-08T14:58:31,web,/cart,tablet,meta,spring_sale
