spend_date,channel,campaign,utm_source,utm_campaign,spend_cents,impressions,clicks
2024-01-19,bing,holiday_2024,bing,holiday_2024,310149,103383,3454
2024-01-19,meta,holiday_2025,meta,holiday_2025,379554,126518,4134
2024-01-19,email,brand_search,email,brand_search,199342,66447,1434
2024-01-20,bing,spring_sale,bing,spring_sale,432211,72035,2849
2024-01-21,google,holiday_2025,google,holiday_2025,148622,74311,2847
2024-01-21,bing,holiday_2024,bing,holiday_2024,192117,64039,1824
2024-01-21,meta,always_on,meta,always_on,439873,219936,7456
2024-01-22,bing,brand_search,bing,brand_search,63141,12628,112
2024-01-22,meta,brand_search,meta,brand_search,91087,13012,178
2024-01-23,google,holiday_2025,google,holiday_2025,278653,69663,723
2024-01-23,bing,summer_clearance,bing,summer_clearance,82253,16450,155
2024-01-23,meta,holiday_2025,meta,holiday_2025,75853,9481,250
2024-01-24,google,brand_search,google,brand_search,26161,8720,183
2024-01-24,bing,brand_search,bing,brand_search,374414,46801,2287
2024-01-24,meta,back_to_school,meta,back_to_school,161066,32213,358
2024-01-24,email,summer_clearance,email,summer_clearance,75106,10729,68
2024-01-25,google,summer_clearance,google,summer_clearance,353831,88457,1507
2024-01-25,bing,back_to_school,bing,back_to_school,432776,144258,2566
2024-01-25,meta,brand_search,meta,brand_search,291092,48515,1875
2024-01-26,google,holiday_2024,google,holiday_2024,41730,5961,193
2024-01-26,meta,brand_search,meta,brand_search,241668,120834,1977
2024-01-27,meta,always_on,meta,always_on,113435,18905,446
2024-01-27,email,always_on,email,always_on,458148,114537,1372
2024-01-28,google,spring_sale,google,spring_sale,485868,69409,2130
2024-01-28,meta,brand_search,meta,brand_search,408952,68158,1332
2024-01-29,google,brand_search,google,brand_search,423835,141278,4499
2024-01-29,meta,spring_sale,meta,spring_sale,232509,58127,1655
2024-01-29,email,holiday_2025,email,holiday_2025,272317,45386,1251
2024-01-30,google,summer_clearance,google,summer_clearance,59104,14776,387
2024-01-30,meta,holiday_2025,meta,holiday_2025,193126,64375,2502
2024-01-30,email,holiday_2025,email,holiday_2025,41534,20767,905
2024-01-31,meta,holiday_2024,meta,holiday_2024,180020,30003,479
2024-02-01,bing,always_on,bing,always_on,252034,63008,1609
2024-02-01,meta,holiday_2025,meta,holiday_2025,207936,25992,294
2024-02-01,email,always_on,email,always_on,400199,50024,272
2024-02-02,google,holiday_2024,google,holiday_2024,60042,12008,588
2024-02-02,meta,summer_clearance,meta,summer_clearance,219525,31360,481
2024-02-03,google,brand_search,google,brand_search,162329,27054,331
2024-02-03,bing,spring_sale,bing,spring_sale,180063,30010,1474
2024-02-03,meta,spring_sale,meta,spring_sale,267507,89169,2031
2024-02-03,email,back_to_school,email,back_to_school,188706,47176,2168
2024-02-04,google,always_on,google,always_on,429115,107278,5036
2024-02-04,meta,back_to_school,meta,back_to_school,113928,56964,2568
2024-02-05,google,holiday_2024,google,holiday_2024,349477,43684,822
2024-02-06,google,summer_clearance,google,summer_clearance,443657,110914,4069
2024-02-06,bing,spring_sale,bing,spring_sale,320761,160380,3216
2024-02-06,meta,always_on,meta,always_on,323402,107800,5139
2024-02-07,google,holiday_2025,google,holiday_2025,435541,87108,2401
2024-02-07,bing,back_to_school,bing,back_to_school,69750,11625,450
2024-02-07,meta,holiday_2024,meta,holiday_2024,376917,94229,1383
2024-02-08,meta,summer_clearance,meta,summer_clearance,42531,14177,663
2024-02-08,email,back_to_school,email,back_to_school,319199,45599,409
2024-02-09,bing,holiday_2024,bing,holiday_2024,309012,51502,985
2024-02-09,meta,holiday_2024,meta,holiday_2024,216114,27014,1244
2024-02-10,google,spring_sale,google,spring_sale,375815,93953,3287
2024-02-11,google,holiday_2025,google,holiday_2025,180558,90279,3217
2024-02-11,meta,brand_search,meta,brand_search,226839,32405,760
2024-02-12,google,holiday_2025,google,holiday_2025,215829,43165,448
2024-02-12,meta,spring_sale,meta,spring_sale,159482,79741,2955
2024-02-12,email,holiday_2024,email,holiday_2024,270687,33835,307
2024-02-13,google,back_to_school,google,back_to_school,399866,133288,4531
2024-02-13,bing,always_on,bing,always_on,349525,174762,3483
2024-02-13,meta,summer_clearance,meta,summer_clearance,341649,113883,2752
2024-02-14,google,holiday_2025,google,holiday_2025,85292,28430,631
2024-02-14,bing,spring_sale,bing,spring_sale,22045,3674,29
2024-02-15,google,summer_clearance,google,summer_clearance,187723,37544,1389
2024-02-15,bing,spring_sale,bing,spring_sale,52919,8819,51
2024-02-15,meta,holiday_2025,meta,holiday_2025,346675,86668,1716
2024-02-16,google,back_to_school,google,back_to_school,310724,103574,3380
2024-02-16,bing,holiday_2024,bing,holiday_2024,60983,15245,751
2024-02-16,meta,holiday_2024,meta,holiday_2024,104294,17382,431
2024-02-16,email,back_to_school,email,back_to_school,178586,35717,635
2024-02-17,google,spring_sale,google,spring_sale,74497,10642,219
2024-02-17,meta,holiday_2024,meta,holiday_2024,355651,177825,4837
2024-02-18,bing,always_on,bing,always_on,210051,70017,3118
2024-02-18,meta,holiday_2025,meta,holiday_2025,375597,46949,1597
2024-02-18,email,brand_search,email,brand_search,400840,80168,3105
2024-02-19,google,spring_sale,google,spring_sale,53771,8961,60
2024-02-19,meta,back_to_school,meta,back_to_school,357213,89303,2693
2024-02-20,email,summer_clearance,email,summer_clearance,428796,61256,1293
2024-02-21,google,summer_clearance,google,summer_clearance,280647,56129,1896
2024-02-21,bing,holiday_2024,bing,holiday_2024,240988,120494,768
2024-02-22,google,holiday_2025,google,holiday_2025,448230,64032,1496
2024-02-22,bing,spring_sale,bing,spring_sale,16790,8395,381
2024-02-22,meta,always_on,meta,always_on,420429,84085,1380
2024-02-22,email,holiday_2025,email,holiday_2025,93693,46846,525
2024-02-23,google,brand_search,google,brand_search,346604,57767,2097
2024-02-23,bing,back_to_school,bing,back_to_school,409567,58509,838
2024-02-23,meta,holiday_2024,meta,holiday_2024,26928,13464,632
2024-02-23,email,always_on,email,always_on,127545,31886,676
2024-02-24,google,brand_search,google,brand_search,232536,58134,730
2024-02-24,bing,summer_clearance,bing,summer_clearance,23456,3909,155
2024-02-24,meta,back_to_school,meta,back_to_school,232763,116381,1766
2024-02-24,email,always_on,email,always_on,206096,51524,2089
2024-02-25,google,spring_sale,google,spring_sale,148717,18589,118
2024-02-25,meta,holiday_2024,meta,holiday_2024,59281,7410,151
2024-02-25,email,summer_clearance,email,summer_clearance,304854,43550,484
2024-02-26,google,holiday_2025,google,holiday_2025,227702,37950,933
2024-02-26,meta,brand_search,meta,brand_search,456938,152312,2517
2024-02-26,email,spring_sale,email,spring_sale,169999,33999,1381
2024-02-27,google,holiday_2024,google,holiday_2024,407609,58229,1117
2024-02-27,bing,holiday_2024,bing,holiday_2024,39595,5656,104
2024-02-27,email,brand_search,email,brand_search,104763,34921,419
2024-02-28,bing,back_to_school,bing,back_to_school,124011,20668,705
2024-02-28,meta,holiday_2025,meta,holiday_2025,163987,32797,724
2024-02-28,email,spring_sale,email,spring_sale,162647,81323,4064
2024-02-29,bing,brand_search,bing,brand_search,296806,49467,1186
2024-02-29,meta,brand_search,meta,brand_search,477302,159100,5313
2024-02-29,email,holiday_2025,email,holiday_2025,320554,80138,728
2024-03-01,email,always_on,email,always_on,22207,7402,100
2024-03-02,google,holiday_2025,google,holiday_2025,57636,8233,106
2024-03-02,email,holiday_2024,email,holiday_2024,318152,39769,1146
2024-03-03,google,holiday_2024,google,holiday_2024,141188,47062,1794
2024-03-03,meta,summer_clearance,meta,summer_clearance,467477,155825,4181
2024-03-03,email,holiday_2024,email,holiday_2024,463059,66151,2514
2024-03-04,google,holiday_2024,google,holiday_2024,130707,43569,980
2024-03-04,bing,summer_clearance,bing,summer_clearance,83668,27889,555
2024-03-05,meta,brand_search,meta,brand_search,486485,162161,4633
2024-03-05,email,back_to_school,email,back_to_school,304037,76009,2802
2024-03-06,google,holiday_2024,google,holiday_2024,34331,4291,67
2024-03-06,email,back_to_school,email,back_to_school,270050,45008,322
2024-03-08,google,always_on,google,always_on,330135,41266,798
2024-03-08,bing,holiday_2024,bing,holiday_2024,207215,34535,1049
2024-03-09,google,always_on,google,always_on,60714,20238,236
2024-03-09,meta,brand_search,meta,brand_search,368365,73673,3202
2024-03-09,email,holiday_2024,email,holiday_2024,371635,74327,1082
2024-03-10,bing,summer_clearance,bing,summer_clearance,134061,67030,1725
2024-03-10,meta,back_to_school,meta,back_to_school,393685,56240,486
2024-03-11,google,summer_clearance,google,summer_clearance,212549,106274,1958
2024-03-11,bing,brand_search,bing,brand_search,303184,43312,419
2024-03-12,google,spring_sale,google,spring_sale,116583,19430,880
2024-03-13,google,holiday_2025,google,holiday_2025,313597,62719,1478
2024-03-13,bing,holiday_2025,bing,holiday_2025,70019,35009,778
2024-03-14,google,holiday_2024,google,holiday_2024,155058,31011,1326
2024-03-14,bing,brand_search,bing,brand_search,444824,55603,1714
2024-03-14,meta,holiday_2024,meta,holiday_2024,245893,81964,2944
2024-03-14,email,brand_search,email,brand_search,146508,36627,1105
2024-03-15,bing,always_on,bing,always_on,290489,48414,1505
2024-03-15,meta,always_on,meta,always_on,278323,55664,419
2024-03-15,email,brand_search,email,brand_search,334758,66951,3285
2024-03-16,google,always_on,google,always_on,410408,102602,5007
2024-03-16,meta,always_on,meta,always_on,141249,28249,646
2024-03-16,email,holiday_2025,email,holiday_2025,231361,57840,2718
2024-03-18,bing,holiday_2024,bing,holiday_2024,386307,48288,1968
2024-03-18,meta,always_on,meta,always_on,35606,5934,161
2024-03-19,bing,always_on,bing,always_on,482703,160901,4138
2024-03-19,meta,holiday_2025,meta,holiday_2025,107078,26769,955
2024-03-19,email,always_on,email,always_on,450543,112635,4549
2024-03-20,google,always_on,google,always_on,143017,23836,251
2024-03-20,bing,brand_search,bing,brand_search,265595,37942,1114
2024-03-21,google,holiday_2025,google,holiday_2025,40949,20474,134
2024-03-22,google,brand_search,google,brand_search,141240,20177,381
2024-03-22,bing,back_to_school,bing,back_to_school,468383,58547,2392
2024-03-22,meta,holiday_2024,meta,holiday_2024,222711,44542,1761
2024-03-23,google,holiday_2024,google,holiday_2024,419339,83867,924
2024-03-23,bing,summer_clearance,bing,summer_clearance,327559,65511,1535
2024-03-23,email,holiday_2024,email,holiday_2024,297235,99078,4584
2024-03-24,bing,spring_sale,bing,spring_sale,174257,87128,960
2024-03-24,meta,spring_sale,meta,spring_sale,274313,68578,1235
2024-03-25,google,brand_search,google,brand_search,196875,65625,929
2024-03-25,meta,spring_sale,meta,spring_sale,414828,207414,9021
2024-03-25,email,holiday_2025,email,holiday_2025,176141,88070,2377
2024-03-26,google,always_on,google,always_on,217712,36285,329
2024-03-26,bing,spring_sale,bing,spring_sale,452379,64625,1156
2024-03-26,email,always_on,email,always_on,289856,41408,746
2024-03-27,google,holiday_2025,google,holiday_2025,377386,62897,2495
2024-03-28,bing,brand_search,bing,brand_search,380280,63380,461
2024-03-28,meta,always_on,meta,always_on,194446,48611,974
2024-03-28,email,back_to_school,email,back_to_school,145931,36482,738
2024-03-29,google,back_to_school,google,back_to_school,82658,11808,581
2024-03-29,bing,holiday_2024,bing,holiday_2024,156715,22387,1112
2024-03-29,email,back_to_school,email,back_to_school,319077,53179,747
2024-03-30,meta,brand_search,meta,brand_search,310434,103478,4755
2024-03-31,google,holiday_2024,google,holiday_2024,454812,90962,1521
2024-03-31,email,always_on,email,always_on,401476,200738,2785
2024-04-01,google,holiday_2025,google,holiday_2025,167770,83885,3524
2024-04-01,bing,back_to_school,bing,back_to_school,251193,62798,2050
2024-04-01,email,brand_search,email,brand_search,169507,28251,637
2024-04-02,google,summer_clearance,google,summer_clearance,70352,23450,981
2024-04-02,bing,spring_sale,bing,spring_sale,492691,70384,2993
2024-04-02,email,summer_clearance,email,summer_clearance,283096,70774,2798
2024-04-03,google,summer_clearance,google,summer_clearance,289573,72393,1717
2024-04-03,meta,brand_search,meta,brand_search,240866,60216,2580
2024-04-03,email,brand_search,email,brand_search,97170,24292,538
2024-04-04,google,back_to_school,google,back_to_school,37967,9491,80
2024-04-04,bing,summer_clearance,bing,summer_clearance,79944,11420,435
2024-04-04,meta,holiday_2025,meta,holiday_2025,37275,6212,126
2024-04-04,email,summer_clearance,email,summer_clearance,89948,17989,697
2024-04-05,google,brand_search,google,brand_search,262511,32813,648
2024-04-05,bing,brand_search,bing,brand_search,11803,1967,28
2024-04-05,meta,summer_clearance,meta,summer_clearance,496354,165451,4570
2024-04-05,email,holiday_2025,email,holiday_2025,336374,67274,862
2024-04-06,google,always_on,google,always_on,237490,29686,244
2024-04-06,bing,back_to_school,bing,back_to_school,15521,3880,151
2024-04-06,meta,summer_clearance,meta,summer_clearance,129858,43286,1634
2024-04-06,email,holiday_2025,email,holiday_2025,252036,126018,1671
2024-04-07,google,holiday_2024,google,holiday_2024,146870,24478,246
2024-04-07,meta,spring_sale,meta,spring_sale,411802,58828,1341
2024-04-08,bing,summer_clearance,bing,summer_clearance,381995,54570,2414
2024-04-08,email,holiday_2024,email,holiday_2024,492016,246008,4771
2024-04-09,google,holiday_2025,google,holiday_2025,398887,132962,5689
2024-04-09,bing,spring_sale,bing,spring_sale,102697,20539,362
2024-04-09,meta,brand_search,meta,brand_search,361592,180796,7692
2024-04-09,email,spring_sale,email,spring_sale,153457,38364,621
2024-04-10,google,summer_clearance,google,summer_clearance,123295,24659,708
2024-04-10,bing,spring_sale,bing,spring_sale,366063,91515,459
2024-04-10,email,summer_clearance,email,summer_clearance,146427,36606,949
2024-04-11,google,holiday_2024,google,holiday_2024,476038,119009,3505
2024-04-11,bing,spring_sale,bing,spring_sale,329933,54988,527
2024-04-11,email,spring_sale,email,spring_sale,21307,3043,27
2024-04-12,google,spring_sale,google,spring_sale,232159,116079,2674
2024-04-12,email,spring_sale,email,spring_sale,266127,88709,4240
2024-04-13,google,holiday_2025,google,holiday_2025,225131,112565,3814
2024-04-13,bing,spring_sale,bing,spring_sale,146336,36584,1182
2024-04-13,email,spring_sale,email,spring_sale,85502,17100,439
2024-04-14,google,always_on,google,always_on,58288,7286,46
2024-04-14,bing,back_to_school,bing,back_to_school,279673,69918,834
2024-04-14,meta,brand_search,meta,brand_search,451933,225966,9683
2024-04-14,email,holiday_2024,email,holiday_2024,41137,6856,260
2024-04-15,bing,summer_clearance,bing,summer_clearance,379610,63268,508
2024-04-16,bing,brand_search,bing,brand_search,53587,10717,498
2024-04-16,email,spring_sale,email,spring_sale,54528,27264,1134
2024-04-17,google,always_on,google,always_on,300270,37533,1295
2024-04-17,bing,spring_sale,bing,spring_sale,119816,29954,1175
2024-04-17,email,holiday_2024,email,holiday_2024,327977,40997,830
2024-04-18,bing,always_on,bing,always_on,83849,10481,84
2024-04-18,meta,holiday_2024,meta,holiday_2024,328329,164164,1632
2024-04-19,google,holiday_2025,google,holiday_2025,322187,40273,1015
2024-04-19,bing,back_to_school,bing,back_to_school,495058,247529,10969
2024-04-19,email,holiday_2024,email,holiday_2024,218198,43639,1820
2024-04-20,google,always_on,google,always_on,424802,212401,9875
2024-04-20,meta,summer_clearance,meta,summer_clearance,234628,58657,1337
2024-04-21,bing,always_on,bing,always_on,432511,61787,2555
2024-04-21,meta,holiday_2024,meta,holiday_2024,335792,67158,2281
2024-04-21,email,spring_sale,email,spring_sale,480231,96046,3129
2024-04-22,google,back_to_school,google,back_to_school,202151,28878,1186
2024-04-22,bing,spring_sale,bing,spring_sale,55425,13856,247
2024-04-22,email,summer_clearance,email,summer_clearance,240769,30096,362
2024-04-23,google,holiday_2024,google,holiday_2024,364280,60713,1583
2024-04-23,meta,holiday_2024,meta,holiday_2024,417968,69661,1232
2024-04-24,meta,brand_search,meta,brand_search,35207,5029,176
2024-04-25,google,back_to_school,google,back_to_school,229984,45996,968
2024-04-25,bing,holiday_2024,bing,holiday_2024,171704,42926,562
2024-04-25,meta,brand_search,meta,brand_search,58364,8337,158
2024-04-26,bing,holiday_2025,bing,holiday_2025,290550,72637,1872
2024-04-26,meta,always_on,meta,always_on,457407,152469,4464
2024-04-27,google,summer_clearance,google,summer_clearance,297710,148855,6560
2024-04-27,bing,holiday_2025,bing,holiday_2025,64389,16097,99
2024-04-27,email,holiday_2024,email,holiday_2024,291671,145835,1777
2024-04-28,meta,spring_sale,meta,spring_sale,403544,67257,2175
2024-04-29,bing,back_to_school,bing,back_to_school,115652,19275,684
2024-04-29,meta,brand_search,meta,brand_search,313883,62776,695
2024-04-29,email,spring_sale,email,spring_sale,486850,81141,4035
2024-04-30,google,always_on,google,always_on,263636,32954,887
2024-04-30,meta,always_on,meta,always_on,159841,79920,2138
2024-05-01,email,summer_clearance,email,summer_clearance,349996,43749,1383
2024-05-02,google,always_on,google,always_on,409771,204885,3799
2024-05-02,meta,summer_clearance,meta,summer_clearance,438736,54842,695
2024-05-03,google,always_on,google,always_on,498320,62290,2638
2024-05-03,meta,summer_clearance,meta,summer_clearance,130688,16336,549
2024-05-03,email,holiday_2025,email,holiday_2025,242430,121215,1528
2024-05-04,google,holiday_2024,google,holiday_2024,432288,86457,1732
2024-05-04,email,summer_clearance,email,summer_clearance,82038,41019,1610
2024-05-05,meta,holiday_2024,meta,holiday_2024,32297,6459,273
2024-05-05,email,holiday_2024,email,holiday_2024,112614,14076,169
2024-05-06,google,summer_clearance,google,summer_clearance,391982,97995,2151
2024-05-06,bing,back_to_school,bing,back_to_school,128290,21381,1065
2024-05-06,meta,spring_sale,meta,spring_sale,132283,44094,319
2024-05-06,email,spring_sale,email,spring_sale,473463,67637,2518
2024-05-07,bing,spring_sale,bing,spring_sale,19856,2836,140
2024-05-07,meta,holiday_2025,meta,holiday_2025,127868,21311,189
2024-05-07,email,spring_sale,email,spring_sale,343295,114431,3674
2024-05-09,google,spring_sale,google,spring_sale,281796,70449,1836
2024-05-09,bing,holiday_2024,bing,holiday_2024,422225,140741,5162
2024-05-09,meta,back_to_school,meta,back_to_school,354786,59131,2133
2024-05-10,bing,holiday_2025,bing,holiday_2025,367982,183991,3641
2024-05-10,meta,back_to_school,meta,back_to_school,416954,52119,371
2024-05-11,bing,holiday_2025,bing,holiday_2025,87824,17564,676
2024-05-11,meta,holiday_2024,meta,holiday_2024,155017,77508,2421
2024-05-11,email,back_to_school,email,back_to_school,436849,87369,1275
2024-05-12,bing,spring_sale,bing,spring_sale,109183,27295,156
2024-05-12,meta,holiday_2025,meta,holiday_2025,496747,82791,1535
2024-05-13,google,brand_search,google,brand_search,142302,20328,503
2024-05-13,bing,holiday_2024,bing,holiday_2024,275538,45923,1937
2024-05-13,meta,back_to_school,meta,back_to_school,114736,38245,1162
2024-05-13,email,holiday_2025,email,holiday_2025,101739,33913,853
2024-05-14,google,brand_search,google,brand_search,376399,75279,1639
2024-05-14,meta,summer_clearance,meta,summer_clearance,344442,57407,1222
2024-05-15,bing,always_on,bing,always_on,340267,48609,447
2024-05-15,meta,summer_clearance,meta,summer_clearance,445367,89073,1665
2024-05-15,email,holiday_2024,email,holiday_2024,163712,27285,837
2024-05-16,google,holiday_2025,google,holiday_2025,361140,90285,2152
2024-05-16,bing,back_to_school,bing,back_to_school,38545,9636,149
2024-05-16,meta,always_on,meta,always_on,231765,33109,788
2024-05-16,email,summer_clearance,email,summer_clearance,372795,46599,1857
2024-05-17,google,brand_search,google,brand_search,96852,12106,398
2024-05-17,bing,back_to_school,bing,back_to_school,262919,87639,1019
2024-05-17,meta,back_to_school,meta,back_to_school,111021,37007,1360
2024-05-18,bing,holiday_2024,bing,holiday_2024,333172,41646,1698
2024-05-20,bing,always_on,bing,always_on,75734,10819,420
2024-05-20,email,back_to_school,email,back_to_school,172194,86097,1613
2024-05-21,google,brand_search,google,brand_search,417586,208793,3757
2024-05-21,meta,always_on,meta,always_on,497566,165855,1729
2024-05-22,google,always_on,google,always_on,414363,207181,6313
2024-05-22,meta,always_on,meta,always_on,116547,23309,639
2024-05-23,google,spring_sale,google,spring_sale,46636,11659,547
2024-05-23,meta,summer_clearance,meta,summer_clearance,430015,53751,1566
2024-05-23,email,holiday_2024,email,holiday_2024,152062,30412,1149
2024-05-24,google,holiday_2024,google,holiday_2024,71362,23787,648
2024-05-24,bing,back_to_school,bing,back_to_school,282515,35314,393
2024-05-24,meta,summer_clearance,meta,summer_clearance,165402,55134,1206
2024-05-24,email,spring_sale,email,spring_sale,349677,116559,2124
2024-05-25,bing,summer_clearance,bing,summer_clearance,13209,3302,129
2024-05-26,google,summer_clearance,google,summer_clearance,144244,28848,942
2024-05-26,bing,holiday_2025,bing,holiday_2025,19556,6518,70
2024-05-27,google,holiday_2025,google,holiday_2025,492535,164178,4415
2024-05-27,bing,brand_search,bing,brand_search,366232,45779,2159
2024-05-27,meta,summer_clearance,meta,summer_clearance,354427,177213,5240
2024-05-27,email,back_to_school,email,back_to_school,21837,3119,43
2024-05-28,google,spring_sale,google,spring_sale,447676,63953,2487
2024-05-28,meta,always_on,meta,always_on,183060,26151,1198
2024-05-29,bing,summer_clearance,bing,summer_clearance,39823,7964,348
2024-05-29,email,back_to_school,email,back_to_school,458045,65435,2928
2024-05-30,bing,spring_sale,bing,spring_sale,40664,5083,113
2024-05-31,email,spring_sale,email,spring_sale,283692,141846,906
2024-06-01,google,summer_clearance,google,summer_clearance,302498,75624,2467
2024-06-01,bing,summer_clearance,bing,summer_clearance,380233,126744,2973
2024-06-01,email,holiday_2024,email,holiday_2024,147010,73505,1199
2024-06-02,bing,back_to_school,bing,back_to_school,174790,34958,710
2024-06-02,meta,brand_search,meta,brand_search,451044,112761,3846
2024-06-03,bing,brand_search,bing,brand_search,425667,53208,1791
2024-06-03,meta,holiday_2024,meta,holiday_2024,311010,103670,2124
2024-06-03,email,always_on,email,always_on,57409,19136,444
2024-06-04,google,spring_sale,google,spring_sale,271715,38816,1898
2024-06-04,meta,holiday_2025,meta,holiday_2025,300078,75019,787
2024-06-04,email,holiday_2025,email,holiday_2025,366905,122301,4863
2024-06-05,bing,back_to_school,bing,back_to_school,183894,36778,908
2024-06-05,meta,brand_search,meta,brand_search,390587,48823,973
2024-06-05,email,holiday_2025,email,holiday_2025,423547,60506,2100
2024-06-06,google,holiday_2025,google,holiday_2025,147255,49085,1037
2024-06-06,meta,summer_clearance,meta,summer_clearance,414562,51820,2549
2024-06-06,email,holiday_2024,email,holiday_2024,186536,93268,1530
2024-06-07,google,always_on,google,always_on,61819,7727,272
2024-06-07,meta,holiday_2025,meta,holiday_2025,162477,32495,1018
2024-06-08,meta,summer_clearance,meta,summer_clearance,412832,206416,4280
2024-06-09,google,brand_search,google,brand_search,169767,21220,275
2024-06-09,bing,summer_clearance,bing,summer_clearance,36944,12314,184
2024-06-09,meta,summer_clearance,meta,summer_clearance,104423,20884,230
2024-06-09,email,holiday_2024,email,holiday_2024,474633,237316,3158
2024-06-10,google,spring_sale,google,spring_sale,174109,21763,114
2024-06-10,bing,summer_clearance,bing,summer_clearance,219766,109883,1140
2024-06-10,meta,holiday_2024,meta,holiday_2024,127320,21220,690
2024-06-10,email,holiday_2024,email,holiday_2024,15239,7619,125
2024-06-11,google,summer_clearance,google,summer_clearance,33185,8296,136
2024-06-11,email,summer_clearance,email,summer_clearance,111989,15998,581
2024-06-12,google,summer_clearance,google,summer_clearance,208428,29775,1143
2024-06-12,meta,spring_sale,meta,spring_sale,418183,209091,10298
2024-06-12,email,holiday_2025,email,holiday_2025,153827,38456,298
2024-06-13,google,holiday_2025,google,holiday_2025,91326,11415,483
2024-06-13,bing,always_on,bing,always_on,424724,84944,2896
2024-06-13,meta,spring_sale,meta,spring_sale,201284,50321,2224
2024-06-14,google,spring_sale,google,spring_sale,36124,12041,64
2024-06-15,google,summer_clearance,google,summer_clearance,171506,24500,767
2024-06-15,meta,summer_clearance,meta,summer_clearance,250714,35816,285
2024-06-16,google,holiday_2024,google,holiday_2024,323576,64715,2639
2024-06-16,meta,always_on,meta,always_on,475151,67878,363
2024-06-16,email,back_to_school,email,back_to_school,25081,4180,135
2024-06-17,meta,summer_clearance,meta,summer_clearance,420009,84001,4184
2024-06-18,email,spring_sale,email,spring_sale,271591,90530,3677
2024-06-19,google,back_to_school,google,back_to_school,18578,6192,230
2024-06-19,email,holiday_2025,email,holiday_2025,276711,55342,2048
2024-06-20,google,back_to_school,google,back_to_school,158975,39743,340
2024-06-21,google,back_to_school,google,back_to_school,228536,114268,2552
2024-06-22,google,spring_sale,google,spring_sale,362089,45261,1500
2024-06-22,bing,back_to_school,bing,back_to_school,127330,42443,1279
2024-06-22,meta,back_to_school,meta,back_to_school,152818,38204,1131
2024-06-23,google,spring_sale,google,spring_sale,181481,30246,913
2024-06-23,email,brand_search,email,brand_search,432796,216398,6153
2024-06-24,google,spring_sale,google,spring_sale,249221,31152,848
2024-06-24,email,back_to_school,email,back_to_school,136648,17081,355
2024-06-25,google,spring_sale,google,spring_sale,214155,53538,2486
2024-06-25,bing,back_to_school,bing,back_to_school,294932,147466,4892
2024-06-25,meta,back_to_school,meta,back_to_school,82243,27414,198
2024-06-25,email,spring_sale,email,spring_sale,441162,55145,2078
2024-06-26,google,spring_sale,google,spring_sale,334455,111485,4373
